,id,sentence,subject_entity,object_entity,label,source
420,420,"그는 1999년, 2000년, 2001년과 2003년에 분데스리가 우승을 거두었고, 1998년, 2000년과 2003년에는 DFB-포칼 우승을 거두었으며, 2001년에는 UEFA 챔피언스리그 우승도 거두었다.","{'word': '분데스리가', 'start_idx': 31, 'end_idx': 35, 'type': 'ORG'}","{'word': 'DFB-포칼', 'start_idx': 69, 'end_idx': 74, 'type': 'POH'}",no_relation,wikipedia
440,440,"21세의 앙갱 공작 루이가 지휘하는 프랑스군은 재빠르게 스페인 군의 움직임에 반응하여 6,000명에 달하는 스페인 원군이 도착하기 전에 전투를 벌이려 하였다.","{'word': '스페인', 'start_idx': 31, 'end_idx': 33, 'type': 'ORG'}","{'word': '6,000명', 'start_idx': 48, 'end_idx': 53, 'type': 'NOH'}",no_relation,wikipedia
444,444,"로버트 팰컨 스콧(Robert Falcon Scott, CVO, 1868년 6월 6일 ~ 1912년 3월 29일)은 영국의 군인, 탐험가이다.","{'word': '로버트 팰컨 스콧', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '군인, 탐험가', 'start_idx': 69, 'end_idx': 75, 'type': 'POH'}",per:title,wikipedia
457,457,"류경수(柳京洙, 1915년 9월 9일 ~ 1958년 11월 19일)는 일제 강점기 공산주의 항일운동가이며 소비에트 연방, 조선민주주의인민공화국의 군인이다.","{'word': '류경수', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1915년 9월 9일 ~ 1958년 11월 19일', 'start_idx': 9, 'end_idx': 35, 'type': 'DAT'}",per:date_of_birth,wikipedia
494,494,"2006년 1월 9일, 씨제이엔터테인먼트 이사회가 영화사업부문을 분리하여 씨제이엔터테인먼트 주식회사를 신설하고, 기존 씨제이엔터테인먼트는 투자사업부문만 존속시킨 뒤 씨제이이에치(주)(CJEH)로 상호 변경 후 씨제이㈜에 합병하기로 결의하였다.","{'word': '씨제이엔터테인먼트', 'start_idx': 13, 'end_idx': 21, 'type': 'ORG'}","{'word': '씨제이이에치(주)', 'start_idx': 92, 'end_idx': 100, 'type': 'ORG'}",org:alternate_names,wikipedia
540,540,"덴분 23년(1554년) 하루노부는 후 호조씨(後北条氏), 이마가와씨(今川氏)와 서로 동맹을 맺어 배후를 든든하게 했다.","{'word': '호조씨', 'start_idx': 22, 'end_idx': 24, 'type': 'ORG'}","{'word': '後北条氏', 'start_idx': 26, 'end_idx': 29, 'type': 'ORG'}",org:alternate_names,wikipedia
627,627,"2000년 12월에 국방개혁 2020 계획에 따라 제1야전군과의 통합되어 지상작전사령부가 창설될 예정이었으나, 너무 빠르게 제1, 3야전군을 해체하였을 경우에 생길 영향으로 전투력 공백화 등의 갖가지 문제가 생길 수 있어 2019년부터 통합되었다.","{'word': '지상작전사령부', 'start_idx': 41, 'end_idx': 47, 'type': 'ORG'}","{'word': '제1, 3야전군', 'start_idx': 69, 'end_idx': 76, 'type': 'ORG'}",no_relation,wikipedia
630,630,"배우 마동석, 박정민, 정해인, 염정아, 최성은, 윤경호 씨가 출연하는 영화 '시동'은 오는 18일 개봉한다.","{'word': '최성은', 'start_idx': 23, 'end_idx': 25, 'type': 'PER'}","{'word': ""시동'"", 'start_idx': 44, 'end_idx': 46, 'type': 'POH'}",no_relation,wikitree
714,714,"18,000명이 해당 경기를 관전했으며 스위스는 리히텐슈타인에 3-0 승리를 기록했다.","{'word': '스위스', 'start_idx': 22, 'end_idx': 24, 'type': 'ORG'}","{'word': '18,000명', 'start_idx': 0, 'end_idx': 6, 'type': 'NOH'}",no_relation,wikipedia
723,723,《스페이스워!》는 1962년 미국 MIT 학생이었던 스티브 러셀이 만든 세계 최초의 디지털 방식의 컴퓨터 게임이다.,"{'word': '스티브 러셀', 'start_idx': 29, 'end_idx': 34, 'type': 'PER'}","{'word': '스페이스워!', 'start_idx': 1, 'end_idx': 6, 'type': 'POH'}",per:product,wikipedia
724,724,"2008-09 시즌, 마르세유는 FC 지롱댕 드 보르도와의 격렬한 레이스 끝에 리그 1을 준우승으로 마무리하였다.","{'word': 'FC 지롱댕 드 보르도', 'start_idx': 18, 'end_idx': 29, 'type': 'ORG'}","{'word': '2008-09', 'start_idx': 0, 'end_idx': 6, 'type': 'DAT'}",no_relation,wikipedia
750,750,하지만 이미 수원 삼성 블루윙즈 U-15 유스팀인 매탄중학교에 스카우트되어 입학이 예정된 상태였으나 수원 측에서는 대승적 차원에서 백승호를 보내주기로 하고 스페인에 가서도 지원을 해주기로 결정하였다.,"{'word': '백승호', 'start_idx': 73, 'end_idx': 75, 'type': 'PER'}","{'word': '수원 삼성 블루윙즈 U-15', 'start_idx': 7, 'end_idx': 21, 'type': 'ORG'}",no_relation,wikipedia
893,893,"2006-07 시즌, 벤피카는 지난 시즌에 상대하였던 맨체스터 유나이티드 FC와 조별리그 단두대 매치에서 재회하였다.","{'word': '맨체스터 유나이티드 FC', 'start_idx': 30, 'end_idx': 42, 'type': 'ORG'}","{'word': '2006-07', 'start_idx': 0, 'end_idx': 6, 'type': 'DAT'}",no_relation,wikipedia
926,926,"금성대군 이유(錦城大君 李瑜, 1426년 5월 5일/음력 3월 28일~1457년 11월 7일/음력 10월 21일)는 조선 전기의 왕자이자 왕족 종실이며 문신, 무신, 군인, 정치가이다.","{'word': '금성대군', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '1426년 5월 5일/음력 3월 28일', 'start_idx': 17, 'end_idx': 37, 'type': 'DAT'}",per:date_of_birth,wikipedia
964,964,"2002-03 시즌, 그는 유벤투스의 UEFA 챔피언스리그 결승행의 주역이었는데 이 결승전에서 유벤투스는 AC 밀란에게 승부차기 끝에 패하였다.","{'word': 'AC 밀란', 'start_idx': 59, 'end_idx': 63, 'type': 'ORG'}","{'word': '2002-03', 'start_idx': 0, 'end_idx': 6, 'type': 'DAT'}",no_relation,wikipedia
977,977,"정진석(鄭鎭碩, 1960년 9월 4일 ~)은 대한민국의 정치인으로, 제16·17·18·20·21대 국회의원이다.","{'word': '정진석', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '16·17·18·20', 'start_idx': 39, 'end_idx': 49, 'type': 'NOH'}",no_relation,wikipedia
1047,1047,"문성민은 동성고등학교 시절부터 수비를 거의 하지 않고 공격에 전념해왔기 때문에 상대 팀의 목적타 서브의 대상이 되어 고전하기도 했지만 이내 현대캐피탈의 주포로 자리잡았고, NH농협 2010~2011 V-리그 올스타전을 앞둔 최종 투표에서 3700여표를 득표하며 인천 대한항공 점보스 세터 한선수에 이어 최다 득표 2위를 차지하였다.","{'word': '인천 대한항공 점보스', 'start_idx': 146, 'end_idx': 156, 'type': 'ORG'}","{'word': 'V-리그', 'start_idx': 111, 'end_idx': 114, 'type': 'POH'}",org:member_of,wikipedia
1052,1052,"1957년 가을, 중국 공산당 지도부의 지시에 따라 우호의 증거로 섬에 있는 학교 등 총 22,528.74 위안에 상당하는 고정자산과 함께 베트남(당시 북베트남)에 양도했다.","{'word': '중국 공산당', 'start_idx': 10, 'end_idx': 15, 'type': 'ORG'}","{'word': '22,528.74 위안', 'start_idx': 50, 'end_idx': 61, 'type': 'NOH'}",no_relation,wikipedia
1053,1053,기타 소상공인 특례보증에 대한 궁금한 사항은 경기신용보증재단 고양지점(☎1577-5900)이나 인터넷(고양시청 콜센터(☎031-909-9000)(☎031-909-9000)로 문의하면 된다.,"{'word': '고양시', 'start_idx': 57, 'end_idx': 59, 'type': 'ORG'}","{'word': '031-909-9000', 'start_idx': 67, 'end_idx': 78, 'type': 'NOH'}",no_relation,wikitree
1055,1055,2009년 1월 25일 내부 마케도니아 혁명 기구-마케도니아 국민통합민주당(VMRO-DPMNE)이 이바노프를 2009년 북마케도니아 대통령 선거 후보로 지명했다.,"{'word': '마케도니아 국민통합민주당', 'start_idx': 28, 'end_idx': 40, 'type': 'ORG'}","{'word': 'VMRO-DPMNE', 'start_idx': 42, 'end_idx': 51, 'type': 'ORG'}",org:alternate_names,wikipedia
1151,1151,"덴마크군은 홀슈타인-고토르프 공략에 20,000명의 지원병을 보냈고, 다른 곳을 공략할 때에도 지원군을 보냈다.","{'word': '덴마크군', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '20,000명', 'start_idx': 20, 'end_idx': 26, 'type': 'NOH'}",no_relation,wikipedia
1291,1291,지난 5일(현지시각) 미국 텍사스주 댈러스에 연고를 둔 미식축구 팀 댈러스 카우보이스는 홈구장인 AT&T 스타디움에 5G 기술을 적용한 팬 서비스를 도입했다.,"{'word': '댈러스 카우보이스', 'start_idx': 38, 'end_idx': 46, 'type': 'ORG'}","{'word': 'AT&T 스타디움', 'start_idx': 54, 'end_idx': 62, 'type': 'POH'}",no_relation,wikitree
1293,1293,"헤르만 뮐러(Hermann Müller, 1879년 5월 18일 ~ 1931년 3월 20일)는 바이마르 공화국 시기에 주로 활동한 독일의 정치인이다.","{'word': '헤르만 뮐러', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': 'Hermann Müller', 'start_idx': 7, 'end_idx': 20, 'type': 'PER'}",per:alternate_names,wikipedia
1299,1299,"2003년 2월 1일, 컬럼비아 우주왕복선가 28번째 임무인 STS-107을 마치고 텍사스주 상공에서 대기권 진입 도중 선체의 결함으로 인해 파괴되었다.","{'word': '컬럼비아 우주왕복선', 'start_idx': 13, 'end_idx': 22, 'type': 'ORG'}","{'word': 'STS-107', 'start_idx': 34, 'end_idx': 40, 'type': 'POH'}",no_relation,wikipedia
1310,1310,재취 부인 도영심 여사와의 사이에 1남 1녀를 두고 있으며 이 가운데 아들(의붓아들)은 19대 총선에서 당선한 前 새누리당 비례대표 24번이었던 이재영 前 국회의원이다.,"{'word': '이재영', 'start_idx': 81, 'end_idx': 83, 'type': 'PER'}","{'word': '前 새누리당 비례대표', 'start_idx': 62, 'end_idx': 72, 'type': 'ORG'}",per:employee_of,wikipedia
1466,1466,"소련군은 9 군(초기)와 9군에서 별도로 분리된 독립 해안군이 강한 저항을 하였고, 오데사의 흑해 함대가 참여한 루마니아의 73일 간의 공방전으로, 총 93,000명의 사상자가 발생했고 그 중 41,000명은 소련군이었다.","{'word': '소련군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '93,000명', 'start_idx': 85, 'end_idx': 91, 'type': 'NOH'}",no_relation,wikipedia
1476,1476,2일(한국시각) 영국 런던 토트넘 홋스퍼 스타디움에서 토트넘과 바이에른 뮌헨의 2019-2020 유럽축구연맹(UEFA) 챔피언스리그 조별리그 B조 2차전 경기가 열렸다.,"{'word': '바이에른 뮌헨', 'start_idx': 35, 'end_idx': 41, 'type': 'ORG'}","{'word': '2019-2020', 'start_idx': 44, 'end_idx': 52, 'type': 'DAT'}",no_relation,wikitree
1481,1481,"이에 세포과학 뉴트리션 전문기업 유사나헬스사이언스(USANA Health Sciences, Inc. 이하 ‘유사나’)는 면역력 증진에 도움을 줄 수 있는 건강기능식품을 추천한다.","{'word': '유사나헬스사이언스', 'start_idx': 18, 'end_idx': 26, 'type': 'ORG'}","{'word': 'USANA Health Sciences, Inc.', 'start_idx': 28, 'end_idx': 54, 'type': 'ORG'}",org:alternate_names,wikitree
1485,1485,"서울대공원 내의 동물원은 2009년 5월 1일부터 개원 100주년을 맞아 명칭을 서울동물원(서울動物園, Seoul Zoo)으로 변경했다.","{'word': '서울동물원', 'start_idx': 45, 'end_idx': 49, 'type': 'ORG'}","{'word': '서울動物園', 'start_idx': 51, 'end_idx': 55, 'type': 'ORG'}",org:alternate_names,wikipedia
1506,1506,그러나 박성광 씨 소속사인 SM C&C에서 퇴사 후 임송 씨에 대한 궁금증이 높아졌다.,"{'word': '박성광', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}","{'word': 'SM C&C', 'start_idx': 15, 'end_idx': 20, 'type': 'ORG'}",per:employee_of,wikitree
1527,1527,"본사는 인천광역시 서구 봉수대로 415 (원창동)에 두고 있으며, 모회사인 SK이노베이션은 서울특별시 종로구 종로 26 (서린동)에 위치에 있다.","{'word': 'SK이노베이션', 'start_idx': 42, 'end_idx': 48, 'type': 'ORG'}","{'word': '서울특별시 종로구 종로 26 (서린동)', 'start_idx': 51, 'end_idx': 71, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
1574,1574,에이젝스(A-JAX)는 DSP 미디어 소속의 5인조 아이돌 그룹이다.,"{'word': '에이젝스', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': 'A-JAX', 'start_idx': 5, 'end_idx': 9, 'type': 'ORG'}",org:alternate_names,wikipedia
1579,1579,보이치에흐 나렘프스키 (1925년 4월 14일 ~)는 폴란드군 참전 용사 출신의 지질학자다.,"{'word': '보이치에흐 나렘프스키', 'start_idx': 0, 'end_idx': 10, 'type': 'PER'}","{'word': '1925년 4월 14일 ~', 'start_idx': 13, 'end_idx': 26, 'type': 'DAT'}",per:date_of_birth,wikipedia
1720,1720,"최근에 두 팀이 맞대결을 펼친 때는 2017-18 시즌의 준결승전으로, 1차전에서 레알 마드리드가 1대 2로 승리하였고, 산티아고 베르나베우에서 열린 2차전에서는 울라이히의 실수로 2대 2로 무승부를 거둬 16강 진출이 좌절되었다.","{'word': '레알 마드리드', 'start_idx': 46, 'end_idx': 52, 'type': 'ORG'}","{'word': '2017-18', 'start_idx': 20, 'end_idx': 26, 'type': 'DAT'}",no_relation,wikipedia
1729,1729,"그의 아들 성삼문, 성삼빙, 성삼고, 성삼성과 손자 네 명이 모두 처형당하여 그의 후사는 끊겼다. 가까운 친척으로는 그의 사촌 성희의 후손들이 살아남아 현존하고 있다.","{'word': '성삼문', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '성삼빙, 성삼고, 성삼성', 'start_idx': 11, 'end_idx': 23, 'type': 'PER'}",per:siblings,wikipedia
1756,1756,맨체스터 시티는 1969-70 풋볼 리그컵 시즌 결승전에서 웨스트브로미치 앨비언을 2-1로 누르고 우승을 차지했고 UEFA 컵위너스컵 시즌 결승전에서 구르니크 자브제를 2-1로 누르고 우승을 차지했다.,"{'word': '구르니크 자브제', 'start_idx': 84, 'end_idx': 91, 'type': 'PER'}","{'word': '1969-70 풋볼 리그컵', 'start_idx': 9, 'end_idx': 22, 'type': 'DAT'}",no_relation,wikipedia
1794,1794,"모로의 56,000명의 강력한 군대는 64,000여 명의 오스트리아 군-바이에른 군과 교전을 벌였다.","{'word': '오스트리아 군', 'start_idx': 32, 'end_idx': 38, 'type': 'ORG'}","{'word': '56,000명', 'start_idx': 4, 'end_idx': 10, 'type': 'NOH'}",no_relation,wikipedia
1797,1797,"전란이라고 말해야 15세기 전반에 들어선 뒤, 난부 가문의 센보쿠(仙北), 가즈노(鹿角) 출병과 다테 가문(伊達氏)의 가호쿠(河北) 지방에서의 침공 등의 영지 다툼 정도가 눈에 띈다.","{'word': '다테 가문', 'start_idx': 54, 'end_idx': 58, 'type': 'ORG'}","{'word': '伊達氏', 'start_idx': 60, 'end_idx': 62, 'type': 'ORG'}",org:alternate_names,wikipedia
1901,1901,"브래드 피트는 영화 '미스터 & 미세스 스미스’에서 호흡을 맞췄던 안젤리나 졸리와 세기의 커플로 발전해 정식으로 결혼식을 올린 뒤 지난 2016년 9월, 결혼 11년 만에 이혼 소식을 발표해 전 세계를 놀라게 했다.","{'word': '브래드 피트', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '미스터 & 미세스 스미스', 'start_idx': 12, 'end_idx': 24, 'type': 'POH'}",no_relation,wikitree
1945,1945,"2008–09시즌 리그1 에서, 카사노바(감독)는 그의 유소년시절 팀메이트 무사 시소코, 스타드 렌 FC에서 새로 합류한 '에티에네 디도'와 호흡을 맞추게 된다.","{'word': '스타드 렌 FC', 'start_idx': 50, 'end_idx': 57, 'type': 'ORG'}","{'word': '2008–09시즌 리그1', 'start_idx': 0, 'end_idx': 12, 'type': 'DAT'}",no_relation,wikipedia
1963,1963,"킹기훈((金基勳)(金基勳), , 1993년 3월 1일 ~ )은 대한민국의 BJ, 유튜버이다.","{'word': '킹기훈', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': 'BJ, 유튜버', 'start_idx': 41, 'end_idx': 47, 'type': 'POH'}",per:title,wikipedia
1990,1990,"CCTV-4(CCTV-4 中文国际)은 중국중앙텔레비전의 텔레비전 채널 중 하나이며, 중국어 국제 방송 채널이다.","{'word': '중국중앙텔레비전', 'start_idx': 21, 'end_idx': 28, 'type': 'ORG'}","{'word': 'CCTV-4 中文国际', 'start_idx': 7, 'end_idx': 17, 'type': 'POH'}",org:members,wikipedia
1991,1991,"미즈하라 코요미(보통 요미(よみ)(よみ)로 불린다, 한국어 더빙판은 박재경)는 일본의 애니메이션과 만화 시리즈 《아즈망가 대왕》에 등장하는 인물이다.","{'word': '미즈하라 코요미', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '요미(よみ)', 'start_idx': 12, 'end_idx': 17, 'type': 'PER'}",per:alternate_names,wikipedia
2140,2140,"동료인 아스필리쿠에타(César Azpilicueta Tanco)와 기념품을 받은 태미는 ""행복하지 않냐""는 질문에 ""별로다""라고 대답했다.","{'word': '아스필리쿠에타', 'start_idx': 4, 'end_idx': 10, 'type': 'PER'}","{'word': 'César Azpilicueta Tanco', 'start_idx': 12, 'end_idx': 34, 'type': 'PER'}",per:alternate_names,wikitree
2209,2209,"2008-09 시즌, 고메스는 분데스리가 선두 VfL 볼프스부르크를 상대로 4골을 득점하여 4-1 승리를 견인하였다.","{'word': 'VfL 볼프스부르크', 'start_idx': 26, 'end_idx': 35, 'type': 'ORG'}","{'word': '2008-09', 'start_idx': 0, 'end_idx': 6, 'type': 'DAT'}",no_relation,wikipedia
2280,2280,가타오카 시치로(1854년 1월 12일-1920년 1월 11일)는 일본 제국 해군의 군인으로 최종 계급은 제독이다.,"{'word': '가타오카 시치로', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '1854년 1월 12일-1920년 1월 11일', 'start_idx': 9, 'end_idx': 33, 'type': 'DAT'}",per:date_of_birth,wikipedia
2446,2446,"박두영(朴斗榮, 木下斗榮, 1880년 11월 28일 ~ 1960년 2월 10일)은 대한제국과 일제 강점기의 군인이다.","{'word': '박두영', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1880년 11월 28일 ~ 1960년 2월 10일', 'start_idx': 15, 'end_idx': 42, 'type': 'DAT'}",no_relation,wikipedia
2531,2531,엔씨소프트는 ‘블레이드 & 소울’ 직업 중 하나인 ‘기공사’의 신규 각성 계열 ‘음양’의 업데이트를 예고했다.,"{'word': '엔씨소프트', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '블레이드 & 소울', 'start_idx': 8, 'end_idx': 16, 'type': 'POH'}",no_relation,wikitree
2552,2552,"키몬다는 3개의 대륙에 5개의 300mm 제조 시설을 두었고, 연구개발 인력 1,800명을 포함하여 세계에 약 12,000명의 직원이 있었다.","{'word': '키몬다', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '12,000명', 'start_idx': 62, 'end_idx': 68, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
2579,2579,"장제원(張濟元, 1967년 4월 13일 ~)은 대한민국의 정치인으로, 제18·20·21대 국회의원이다.","{'word': '장제원', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '18·20', 'start_idx': 40, 'end_idx': 44, 'type': 'NOH'}",no_relation,wikipedia
2609,2609,"특히 지난 7월 제15회 U-18 고양국제여자축구교류전을 개최, 한국·중국·일본·베트남 대표팀 200여 명이 대회기간 고양시를 머물며 숙박, 관광, 기념품 등을 구입하고 2,000여 명의 관중이 경기장을 찾는 등 스포츠 유관산업 활성화에 큰 기여를 했다고 평가받았다.","{'word': '베트남', 'start_idx': 45, 'end_idx': 47, 'type': 'ORG'}","{'word': '2,000여 명', 'start_idx': 95, 'end_idx': 102, 'type': 'NOH'}",no_relation,wikitree
2684,2684,쇼니 씨(少弐氏)의 8대 당주로 쇼니 요리히사(少弐頼尚)의 둘째 아들이다.,"{'word': '쇼니 요리히사', 'start_idx': 18, 'end_idx': 24, 'type': 'PER'}","{'word': '쇼니 씨(少弐氏)', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}",no_relation,wikipedia
2708,2708,포르투의 첫 국제대회 결승전은 유벤투스 FC를 상대로 한 1983-84 UEFA 컵 위너스 컵이었다.,"{'word': '유벤투스 FC', 'start_idx': 17, 'end_idx': 23, 'type': 'ORG'}","{'word': '1983-84', 'start_idx': 32, 'end_idx': 38, 'type': 'DAT'}",no_relation,wikipedia
2717,2717,또한 후지코 후지오 Ⓐ의 출신지인 도야마현 히미시에서는 닌자 핫토리군이 PR 캐릭터이며 시의 이벤트 등에서는 핫토리군 인형이 자주 등장한다.,"{'word': '닌자 핫토리군', 'start_idx': 31, 'end_idx': 37, 'type': 'ORG'}","{'word': '후지코 후지오 Ⓐ', 'start_idx': 3, 'end_idx': 11, 'type': 'PER'}",no_relation,wikipedia
2725,2725,"""호시조라 미유키""(みゆき 한국명:김다솜)는 토에이 애니메이션 제작의 애니메이션《스마일 프리큐어!》에 등장하는 가공의 인물이다.","{'word': '미유키', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': 'みゆき', 'start_idx': 11, 'end_idx': 13, 'type': 'PER'}",per:alternate_names,wikipedia
2730,2730,"(남베트남 정부에 따르면 북베트남 육군과 베트콩에 의해 2, 800명이 처형됨). 공산군은 약 2,400 ~ 8,000명의 사망자를 냈고, 연합군은 668명의 사망자와 3,707명의 부상자를 기록했다.","{'word': '남베트남 정부', 'start_idx': 1, 'end_idx': 7, 'type': 'ORG'}","{'word': '8,000명', 'start_idx': 61, 'end_idx': 66, 'type': 'NOH'}",no_relation,wikipedia
2843,2843,"이 전투에서 프리드리히 대왕이 지휘하는 67,000명 군세는 60,000명의 오스트리아군을 퇴각시켰으나 프리드리히 대왕의 군세는 14,300명의 병력을 잃었고, 이 피해로 인해 프로이센군은 프라하를 공격할 전력을 상실하고 말았다.","{'word': '오스트리아군', 'start_idx': 43, 'end_idx': 48, 'type': 'ORG'}","{'word': '60,000명', 'start_idx': 34, 'end_idx': 40, 'type': 'NOH'}",no_relation,wikipedia
2867,2867,"안양 한라는 2008년 여름 캐나다 선수 브락 라던스키, 수비수 브래드 패스트, 존 아를 차례로 영입하면서 동시에 대학 스타 박우상과 김기성과 각각 계약했으며 송동환이 군에서 복귀하면서 2008-09 시즌 사상 첫 정규리그 1위를 차지했다.","{'word': '안양 한라', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '2008-09', 'start_idx': 104, 'end_idx': 110, 'type': 'DAT'}",no_relation,wikipedia
2933,2933,그는 미국 기독교 개혁교회 (북아메리카) 교단인 칼빈 신학교에서 공부한 후에 프린스턴 신학교에서 수학하고 스투라스부르 대학교에 1888년 아랍어 연구로 박사학위를 았다.,"{'word': '칼빈 신학교', 'start_idx': 27, 'end_idx': 32, 'type': 'ORG'}","{'word': '기독교 개혁교회 (북아메리카)', 'start_idx': 6, 'end_idx': 21, 'type': 'ORG'}",no_relation,wikipedia
2940,2940,"구로사와 기요시(1955년 7월 19일 ~)는 일본의 영화감독, 각본가, 평론가, 소설가다.","{'word': '구로사와 기요시', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '영화감독, 각본가', 'start_idx': 30, 'end_idx': 38, 'type': 'POH'}",per:title,wikipedia
